hour_of_day,season,day_of_week,"Comptador Campus Diagonal Sud 1 [kWh] [Sud 1 (ETSAB, EPSEB i FME)]",CS A,CS B,CS C,Electricitat Total,festiu
9,Autumn,Wednesday,465.8333333333333,104.46916666666668,56.34016666666667,54.93691666666667,215.74625,0.0
9,Autumn,Thursday,464.5,109.43741666666666,55.137166666666666,54.27491666666666,218.8495,0.0
9,Autumn,Friday,415.3076923076923,99.51007692307692,53.369,44.79553846153846,197.67461538461538,0.0
9,Spring,Monday,335.8,108.6279,34.6968,41.1887,184.5134,0.0
9,Spring,Tuesday,342.4166666666667,108.85933333333332,33.08275,43.87641666666667,185.8185,0.0
9,Spring,Wednesday,324.84615384615387,114.24092307692308,33.652923076923074,43.78207692307693,191.67592307692306,0.0
9,Spring,Thursday,366.75,116.44058333333334,34.091166666666666,42.159,192.69074999999998,0.0
9,Spring,Friday,341.75,115.08999999999999,33.85425,43.066583333333334,192.01083333333335,0.0
9,Summer,Monday,360.1111111111111,60.94744444444445,56.95433333333334,26.453666666666667,144.35544444444446,0.0
9,Summer,Tuesday,407.75,74.4625,56.01775,24.141624999999998,154.621875,0.0
9,Summer,Wednesday,440.5,75.6575,57.4205,31.354625000000002,164.432625,0.0
9,Summer,Thursday,396.8888888888889,73.77822222222223,55.588,31.46677777777778,160.833,0.0
9,Summer,Friday,382.44444444444446,69.97711111111111,55.68344444444445,27.41411111111111,153.07466666666667,0.0
9,Vacation,Monday,122.75,43.47841666666667,9.21025,12.670666666666667,65.35933333333334,1.0
9,Vacation,Tuesday,154.22222222222223,48.28211111111111,10.818,16.479222222222223,75.57933333333334,1.0
9,Vacation,Wednesday,117.4,25.655099999999997,12.590900000000001,21.231,59.477,1.0
9,Vacation,Thursday,136.3,36.0731,19.7071,18.2585,74.03869999999999,1.0
9,Vacation,Friday,69.5,20.857125,3.425625,16.458750000000002,40.7415,1.0
9,Winter,Monday,527.4,174.66299999999998,51.669399999999996,62.979,289.3114,0.0
9,Winter,Tuesday,542.7,173.8621,51.0125,68.8333,293.7079,0.0
9,Winter,Wednesday,511.8888888888889,177.24044444444448,48.855444444444444,56.836555555555556,282.9324444444444,0.0
9,Winter,Thursday,521.1111111111111,183.3308888888889,46.75377777777778,57.653222222222226,287.7378888888889,0.0
9,Winter,Friday,473.6666666666667,163.9621111111111,45.236222222222224,52.54077777777778,261.73911111111113,0.0
10,Autumn,Monday,463.09090909090907,117.493,58.03081818181818,61.18381818181819,236.70763636363637,0.0
10,Autumn,Tuesday,456.3076923076923,118.58938461538462,57.200153846153846,58.204076923076926,233.99361538461537,0.0
10,Autumn,Wednesday,469.8333333333333,117.52908333333333,56.681999999999995,65.29333333333334,239.50441666666666,0.0
10,Autumn,Thursday,479.75,120.35808333333334,57.506,64.98775,242.8518333333333,0.0
10,Autumn,Friday,409.38461538461536,104.4253076923077,53.383692307692314,56.27761538461539,214.0866153846154,0.0
10,Spring,Monday,332.2,117.3513,38.2299,51.979499999999994,207.5607,0.0
10,Spring,Tuesday,347.8333333333333,117.94516666666668,37.141083333333334,49.85641666666667,204.94266666666667,0.0
10,Spring,Wednesday,306.0,124.69853846153848,36.72023076923077,49.91115384615385,211.32992307692308,0.0
10,Spring,Thursday,368.4166666666667,127.88258333333333,37.579,49.439083333333336,214.90066666666667,0.0
10,Spring,Friday,333.6666666666667,122.65266666666666,37.110166666666665,52.40841666666666,212.17125,0.0
10,Summer,Monday,391.6666666666667,65.4208888888889,61.26233333333333,34.81966666666667,161.5028888888889,0.0
10,Summer,Tuesday,438.0,83.2025,59.489875,28.046,170.738375,0.0
10,Summer,Wednesday,446.875,88.8255,66.329875,37.05225,192.207625,0.0
10,Summer,Thursday,413.6666666666667,84.8368888888889,59.305,40.303,184.44488888888887,0.0
10,Summer,Friday,390.44444444444446,82.04144444444445,62.769222222222226,32.38033333333333,177.191,0.0
10,Vacation,Monday,95.33333333333333,43.64383333333333,8.822916666666666,14.355833333333335,66.82258333333333,1.0
10,Vacation,Tuesday,122.11111111111111,49.08133333333333,9.974555555555556,16.727444444444444,75.78333333333335,1.0
10,Vacation,Wednesday,80.3,26.375800000000005,10.5096,20.441399999999998,57.326800000000006,1.0
10,Vacation,Thursday,110.4,30.110899999999997,12.7134,19.2714,62.0957,1.0
10,Vacation,Friday,39.875,20.592875,3.4608749999999997,16.369875,40.423625,1.0
10,Winter,Monday,514.0,179.4626,50.05,70.941,300.4536,0.0
10,Winter,Tuesday,561.0,193.6155,52.124300000000005,70.2659,316.00570000000005,0.0
10,Winter,Wednesday,504.0,184.08089999999999,46.318200000000004,61.219899999999996,291.619,0.0
10,Winter,Thursday,505.44444444444446,189.06411111111112,45.74944444444444,65.43944444444445,300.253,0.0
10,Winter,Friday,452.3,166.15320000000003,44.805600000000005,60.587599999999995,271.5464,0.0
11,Autumn,Monday,452.8181818181818,124.26481818181819,60.430454545454545,65.55254545454545,250.2478181818182,0.0
