,Aula,Month,Lower,Upper,Comfort
213,A-44,10,0.0,5.33,94.67
214,A-44,11,6.67,0.0,93.33
215,A-44,12,1.21,0.0,98.79
216,A-51,1,34.54,0.0,65.46000000000001
217,A-51,2,31.4,0.0,68.6
218,A-51,3,14.54,0.0,85.46000000000001
219,A-51,4,5.14,0.0,94.86
220,A-51,5,0.67,0.13,99.2
221,A-51,6,0.0,1.81,98.19
222,A-51,7,0.0,3.9,96.1
223,A-51,8,0.0,10.89,89.11
224,A-51,9,0.69,4.72,94.59
225,A-51,10,0.0,6.66,93.34
226,A-51,11,7.36,0.0,92.64
227,A-51,12,9.54,0.0,90.46000000000001
228,A-52,1,35.48,0.0,64.52000000000001
229,A-52,2,29.17,0.0,70.83
230,A-52,3,14.4,0.0,85.6
231,A-52,4,3.89,0.0,96.11
232,A-52,5,0.67,0.13,99.2
233,A-52,6,0.0,1.39,98.61
234,A-52,7,0.0,2.02,97.98
235,A-52,8,0.0,8.2,91.8
236,A-52,9,0.69,3.47,95.84
237,A-52,10,0.0,5.59,94.41
238,A-52,11,6.81,0.0,93.19
239,A-52,12,7.53,0.0,92.47
240,A-53,1,31.99,0.0,68.01
241,A-53,2,20.54,0.0,79.46000000000001
242,A-53,3,15.07,0.0,84.93
243,A-53,4,7.64,0.0,92.36
244,A-53,5,1.21,0.0,98.79
245,A-53,6,0.0,0.56,99.44
246,A-53,7,0.0,1.08,98.92
247,A-53,8,0.0,5.38,94.62
248,A-53,9,0.83,2.92,96.25
249,A-53,10,0.0,5.46,94.54
250,A-53,11,7.36,0.0,92.64
251,A-53,12,2.42,0.0,97.58
252,A-54,1,31.45,0.0,68.55
253,A-54,2,18.3,0.0,81.7
254,A-54,3,14.4,0.0,85.6
255,A-54,4,4.17,0.0,95.83
256,A-54,5,0.67,0.0,99.33
257,A-54,6,0.0,0.69,99.31
258,A-54,7,0.0,1.08,98.92
259,A-54,8,0.0,5.65,94.35
260,A-54,9,0.69,3.06,96.25
261,A-54,10,0.0,5.06,94.94
262,A-54,11,5.97,0.0,94.03
263,A-54,12,0.81,0.0,99.19
264,A-55,1,22.98,0.0,77.02
265,A-55,2,14.43,0.0,85.57
266,A-55,3,12.79,0.0,87.21000000000001
267,A-55,4,3.33,0.0,96.67
268,A-55,5,0.67,0.13,99.2
269,A-55,6,0.0,0.14,99.86
270,A-55,7,0.0,3.23,96.77
271,A-55,8,0.0,12.37,87.63
272,A-55,9,0.69,2.92,96.39
273,A-55,10,0.0,5.86,94.14
274,A-55,11,0.83,0.0,99.17
275,A-55,12,1.34,0.0,98.66
276,A-56,1,19.62,0.0,80.38
277,A-56,2,11.76,0.0,88.24
278,A-56,3,11.71,0.0,88.28999999999999
279,A-56,4,2.22,0.0,97.78
280,A-56,5,0.0,0.0,100.0
281,A-56,6,0.0,0.0,100.0
282,A-56,7,0.0,3.63,96.37
283,A-56,8,0.0,13.17,86.83
284,A-56,9,0.42,3.89,95.69
285,A-56,10,0.0,7.06,92.94
286,A-56,11,0.56,0.0,99.44
287,A-56,12,0.54,0.0,99.46
288,A-61,1,36.29,0.13,63.58
289,A-61,2,31.1,0.0,68.9
290,A-61,3,14.94,0.0,85.06
291,A-61,4,4.31,0.0,95.69
292,A-61,5,0.0,0.13,99.87
293,A-61,6,0.0,1.11,98.89
294,A-61,7,0.0,2.15,97.85
295,A-61,8,0.0,12.23,87.77
296,A-61,9,0.69,2.78,96.53
297,A-61,10,0.0,9.32,90.68
298,A-61,11,6.81,0.0,93.19
299,A-61,12,9.27,0.0,90.73
300,A-62,1,24.73,0.0,75.27
301,A-62,2,18.9,0.0,81.1
302,A-62,3,11.98,0.0,88.02
303,A-62,4,2.08,0.0,97.92
304,A-62,5,0.0,0.0,100.0
305,A-62,6,0.0,1.81,98.19
306,A-62,7,0.0,5.65,94.35
307,A-62,8,0.0,19.35,80.65
308,A-62,9,0.56,4.86,94.58
309,A-62,10,0.0,10.79,89.21000000000001
310,A-62,11,1.39,0.0,98.61
311,A-62,12,5.78,0.0,94.22
