Date,Aula,Humidity,Distance,min_humidity,max_humidity,Color
2023-01-01 15:00:00,A-44,52.0,1.8846153846153868,30,60,Comfort
2023-01-01 15:00:00,A-11,57.0,3.115384615384613,30,60,Comfort
2023-01-01 15:00:00,A-36,58.0,4.115384615384613,30,60,Comfort
2023-01-01 15:00:00,A-33,48.0,5.884615384615387,30,60,Comfort
2023-01-01 16:00:00,A-22,54.5,0.1153846153846132,30,60,Comfort
2023-01-01 16:00:00,A-51,54.5,0.1153846153846132,30,60,Comfort
2023-01-01 16:00:00,A-32,56.0,1.6153846153846132,30,60,Comfort
2023-01-01 16:00:00,A-12,56.5,2.115384615384613,30,60,Comfort
2023-01-01 16:00:00,A-36,57.0,2.615384615384613,30,60,Comfort
2023-01-01 16:00:00,A-11,57.0,2.615384615384613,30,60,Comfort
2023-01-01 16:00:00,A-33,48.0,6.384615384615387,30,60,Comfort
2023-01-01 17:00:00,A-55,55.0,0.1602564102564159,30,60,Comfort
2023-01-01 17:00:00,A-14,55.0,0.1602564102564159,30,60,Comfort
2023-01-01 17:00:00,A-36,57.5,2.660256410256416,30,60,Comfort
2023-01-01 17:00:00,A-12,57.5,2.660256410256416,30,60,Comfort
2023-01-01 17:00:00,A-11,58.0,3.160256410256416,30,60,Comfort
2023-01-01 17:00:00,A-32,58.5,3.660256410256416,30,60,Comfort
2023-01-01 17:00:00,A-33,48.5,6.339743589743584,30,60,Comfort
2023-01-01 18:00:00,A-55,55.0,0.2307692307692335,30,60,Comfort
2023-01-01 18:00:00,A-23,55.0,0.2307692307692335,30,60,Comfort
2023-01-01 18:00:00,A-36,57.5,2.2692307692307665,30,60,Comfort
2023-01-01 18:00:00,A-12,58.0,2.7692307692307665,30,60,Comfort
2023-01-01 18:00:00,A-11,58.0,2.7692307692307665,30,60,Comfort
2023-01-01 18:00:00,A-32,59.5,4.2692307692307665,30,60,Comfort
2023-01-01 18:00:00,A-33,49.0,6.2307692307692335,30,60,Comfort
2023-01-01 19:00:00,A-52,55.5,0.1923076923076934,30,60,Comfort
