,Aula,Month,Upper,Comfort,Lower
245,A-53,6,0.0,100.0,0
246,A-53,7,0.0,100.0,0
247,A-53,8,0.0,100.0,0
248,A-53,9,0.0,100.0,0
249,A-53,10,0.4,99.6,0
250,A-53,11,0.28,99.72,0
251,A-53,12,0.0,100.0,0
252,A-54,1,0.0,100.0,0
253,A-54,2,0.0,100.0,0
254,A-54,3,0.0,100.0,0
255,A-54,4,0.0,100.0,0
256,A-54,5,0.0,100.0,0
257,A-54,6,0.0,100.0,0
258,A-54,7,0.0,100.0,0
259,A-54,8,0.0,100.0,0
260,A-54,9,0.0,100.0,0
261,A-54,10,0.53,99.47,0
262,A-54,11,0.14,99.86,0
263,A-54,12,0.0,100.0,0
264,A-55,1,0.67,99.33,0
265,A-55,2,0.74,99.26,0
266,A-55,3,1.35,98.65,0
267,A-55,4,0.0,100.0,0
268,A-55,5,0.94,99.06,0
269,A-55,6,0.0,100.0,0
270,A-55,7,0.0,100.0,0
271,A-55,8,0.0,100.0,0
272,A-55,9,0.0,100.0,0
273,A-55,10,0.0,100.0,0
274,A-55,11,0.0,100.0,0
275,A-55,12,0.0,100.0,0
276,A-56,1,0.54,99.46,0
277,A-56,2,0.74,99.26,0
278,A-56,3,0.94,99.06,0
279,A-56,4,0.42,99.58,0
280,A-56,5,0.81,99.19,0
281,A-56,6,0.0,100.0,0
282,A-56,7,0.0,100.0,0
283,A-56,8,0.0,100.0,0
284,A-56,9,0.0,100.0,0
285,A-56,10,0.0,100.0,0
286,A-56,11,0.0,100.0,0
287,A-56,12,0.13,99.87,0
288,A-61,1,0.67,99.33,0
289,A-61,2,0.45,99.55,0
290,A-61,3,0.13,99.87,0
291,A-61,4,0.14,99.86,0
292,A-61,5,0.4,99.6,0
293,A-61,6,0.0,100.0,0
294,A-61,7,0.0,100.0,0
295,A-61,8,0.0,100.0,0
296,A-61,9,0.0,100.0,0
297,A-61,10,1.07,98.93,0
298,A-61,11,3.19,96.81,0
299,A-61,12,0.81,99.19,0
300,A-62,1,0.0,100.0,0
301,A-62,2,1.04,98.96,0
302,A-62,3,0.13,99.87,0
303,A-62,4,0.69,99.31,0
304,A-62,5,0.0,100.0,0
305,A-62,6,0.0,100.0,0
306,A-62,7,0.0,100.0,0
307,A-62,8,0.0,100.0,0
308,A-62,9,0.0,100.0,0
309,A-62,10,0.4,99.6,0
310,A-62,11,0.42,99.58,0
311,A-62,12,0.67,99.33,0
